reference_sequence_name	code	database	original_taxonomic_assignation
Bacteria_Chloroflexi_ChloroflexiX_Dehalogenimonas_alkenigignens_JQ994266	JQ994266	NCBI	JQ994266.1 Dehalogenimonas alkenigignens strain IP3-3 16S ribosomal RNA gene, partial sequence
Bacteria_Chloroflexi_ChloroflexiX_Ktedonobacter_sp_KY992726	KY992726	NCBI	KY992726.1 Uncultured Ktedonobacter sp. clone Sp07PTChl_1 16S ribosomal RNA gene, partial sequence
Bacteria_Chloroflexi_ChloroflexiX_Thermomicrobium_roseum_M34115	M34115	NCBI	M34115.1 Thermomicrobium roseum strain ATCC 27502 16S ribosomal RNA gene, complete sequence
Bacteria_Chrysiogenetes_ChrysiogenetesX_Chrysiogenes_arsenatis_NR029283	NR029283	NCBI	NR_029283.1 Chrysiogenes arsenatis strain BAL-1 16S ribosomal RNA gene, complete sequence
Bacteria_Chrysiogenetes_ChrysiogenetesX_Desulfurispira_natronophila_GQ922843	GQ922843	ENA	ENA|GQ922843|GQ922843.1 Desulfurispira natronophila strain AHT19 16S ribosomal RNA gene, partial sequence. 
Bacteria_Chrysiogenetes_ChrysiogenetesX_Desulfurispirillum_indicum_DQ991965	DQ991965	ENA	ENA|DQ991965|DQ991965.1 Desulfurispirillum indicum S5 16S ribosomal RNA gene, partial sequence. 
Bacteria_Deferribacteres_DeferribacteresX_Deferribacter_autotrophicus_NR044488	NR044488	NCBI	NR_044488.1 Deferribacter autotrophicus strain SL50 16S ribosomal RNA gene, partial sequence
Bacteria_Deinococcus_DeinococcusX_Deinobacterium_chartae_NR115101	NR115101	NCBI	NR_115101.1 Deinobacterium chartae strain K4.1 16S ribosomal RNA gene, partial sequence
Bacteria_Dictyoglomi_DictyoglomiX_Dictyoglomus_sp_FJ626840	FJ626840	ENA	ENA|FJ626840|FJ626840.1 Dictyoglomus sp. 1512 16S ribosomal RNA gene, partial sequence. 
Bacteria_Fibrobacteres_FibrobacteresX_Fibrobacter_succinogenes_NR074293	NR074293	NCBI	NR_074293.1 Fibrobacter succinogenes strain S85 16S ribosomal RNA gene, complete sequence
Bacteria_Firmicutes_FirmicutesX_Bacillus_marinus_AB021190	AB021190	NCBI	AB021190.1 Bacillus marinus gene for 16S ribosomal RNA
Bacteria_Firmicutes_FirmicutesX_Colstridium_botulinium_NR036786	NR036786	NCBI	NR_036786.1 Clostridium botulinum strain ELTDK 103 16S ribosomal RNA gene, complete sequence
Bacteria_Firmicutes_FirmicutesX_Streptococcus_iniae_CP017952	CP017952	NCBI	CP017952.1:c1554247-1552693 Streptococcus iniae strain 89353, complete genome
Bacteria_Fusobacteria_FusobacteriaX_Psychrilyobacter_atlanticus_NZKE384547	NZKE384547	NCBI	NZ_KE384547.1:c109861-108339 Psychrilyobacter atlanticus DSM 19335 K337DRAFT_scaffold00001.1, whole genome shotgun sequence
Bacteria_Gemmatimonadetes_GemmatimonadetesX_Gemmatimonas_phototrophica_CP011454	CP011454	ENA	ENA|CP011454.1:2072843..2074370:rRNA|CP011454.1:2072843..2074370:rRNA.1 Gemmatimonas phototrophica 16S ribosomal RNA 
Bacteria_Lentisphaerae_LentisphaeraeX_Lentisphaera_araneosa_AY390429	AY390429	NCBI	AY390429.1 Lentisphaera araneosa strain HTCC2160 16S ribosomal RNA gene, partial sequence
Bacteria_Melainabacteria_Caenarcaniphilales_CaenarcaniphilalesIncertaeSedis_UnknownGenus_FJ425638	FJ425638	SILVA_SSURef_NR99_128	Melainabacteria;Caenarcaniphilales
Bacteria_Melainabacteria_Gastranaerophilales_GastranaerophilalesIncertaeSedis_UnknownGenus_CDTW01048949	CDTW01048949	SILVA_SSURef_NR99_128	Melainabacteria;Gastranaerophilales
Bacteria_Melainabacteria_Obscuribacterales_ObscuribacteralesIncertaeSedis_UnknownGenus_JQ769690	JQ769690	SILVA_SSURef_NR99_128	Melainabacteria;Obscuribacterales
Bacteria_Melainabacteria_Vampirovibrionales_VampirovibrionalesIncertaeSedis_UnknownGenus_EU101276	EU101276	SILVA_SSURef_NR99_128	Melainabacteria;Vampirovibrionales
Bacteria_Melainabacteria_Vampirovibrionales_VampirovibrionalesIncertaeSedis_UnknownGenus_HM038000	HM038000	SILVA_SSURef_NR99_128	Melainabacteria;Vampirovibrionales
Bacteria_Nitrospinae_NitrospinaeX_Nitrospina_sp_KC706458	KC706458	ENA	ENA|KC706458|KC706458.1 Nitrospina sp. enrichment culture clone Cb12 16S ribosomal RNA gene, complete sequence. 
Bacteria_Nitrospirae_NitrospiraeX_Nitrospira_marina_JQ073799	JQ073799	NCBI	JQ073799.1 Nitrospira marina strain SDT3S19 16S ribosomal RNA gene, complete sequence
Bacteria_Oxyphotobacteria_Eurycoccales_Leptococcaceae_LeptococcusCG12_GU437456	GU437456	SILVA_SSURef_NR99_128	Oxyphotobacteria;Eurycoccales;Leptococcaceae;Leptococcus;CG12
Bacteria_Oxyphotobacteria_Eurycoccales_Leptococcaceae_LeptococcusCG12_JN438072	JN438072	SILVA_SSURef_NR99_128	Oxyphotobacteria;Eurycoccales;Leptococcaceae;Leptococcus;CG12
Bacteria_Oxyphotobacteria_Eurycoccales_Leptococcaceae_LeptococcusCG12_JN825306	JN825306	SILVA_SSURef_NR99_128	Oxyphotobacteria;Eurycoccales;Leptococcaceae;Leptococcus;CG12
Bacteria_Oxyphotobacteria_Eurycoccales_Leptococcaceae_Leptococcus_AFSR01000050	AFSR01000050	SILVA_SSURef_NR99_128	Oxyphotobacteria;Eurycoccales;Leptococcaceae;Leptococcus;Leptococcaceae;Leptococcus
Bacteria_Oxyphotobacteria_Eurycoccales_Leptococcaceae_Leptococcus_EF205441	EF205441	SILVA_SSURef_NR99_128	Oxyphotobacteria;Eurycoccales;Leptococcaceae;Leptococcus;Leptococcaceae;Leptococcus
Bacteria_Oxyphotobacteria_Eurycoccales_Leptococcaceae_Leptococcus_KP676738	KP676738	SILVA_SSURef_NR99_128	Oxyphotobacteria;Eurycoccales;Leptococcaceae;Leptococcus;Leptococcaceae;Leptococcus
Bacteria_Oxyphotobacteria_Geitlerinematales_Geitlerinemataceae_Geitlerinema_CP003591	CP003591	SILVA_SSURef_NR99_128	Oxyphotobacteria;Geitlerinematales;Geitlerinemataceae;Geitlerinema
Bacteria_Oxyphotobacteria_Gloeobacterales_Gloeobacteraceae_GloeobacterPCC7421_AB630682	AB630682	SILVA_SSURef_NR99_128	Oxyphotobacteria;Gloeobacterales;Gloeobacteraceae;Gloeobacter
Bacteria_Oxyphotobacteria_Gloeobacterales_Gloeobacteraceae_GloeobacterPCC7421_AF132791	AF132791	SILVA_SSURef_NR99_128	Oxyphotobacteria;Gloeobacterales;Gloeobacteraceae;Gloeobacter
Bacteria_Oxyphotobacteria_Leptolyngbyales_Leptolyngbyaceae_AlkalinemaCENA528_KF246496	KF246496	SILVA_SSURef_NR99_128	Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;Alkalinema
Bacteria_Oxyphotobacteria_Leptolyngbyales_Leptolyngbyaceae_ArthronemaSAG1289_AB115966	AB115966	SILVA_SSURef_NR99_128	Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;Arthronema
Bacteria_Oxyphotobacteria_Leptolyngbyales_Leptolyngbyaceae_ArthronemaSAG1289_JQ769617	JQ769617	SILVA_SSURef_NR99_128	Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;Arthronema
Bacteria_Oxyphotobacteria_Leptolyngbyales_Leptolyngbyaceae_BMM02_JQ769552	JQ769552	SILVA_SSURef_NR99_128	Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;BMM02
Bacteria_Oxyphotobacteria_Leptolyngbyales_Leptolyngbyaceae_BMM02_JQ769810	JQ769810	SILVA_SSURef_NR99_128	Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;BMM02
Bacteria_Oxyphotobacteria_Leptolyngbyales_Leptolyngbyaceae_ChamaesiphonPCC7430_AF076163	AF076163	SILVA_SSURef_NR99_128	Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;Chamaesiphon
Bacteria_Oxyphotobacteria_Leptolyngbyales_Leptolyngbyaceae_ChamaesiphonPCC7430_GQ324971	GQ324971	SILVA_SSURef_NR99_128	Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;Chamaesiphon
Bacteria_Oxyphotobacteria_Leptolyngbyales_Leptolyngbyaceae_Greenland10_DQ431005	DQ431005	SILVA_SSURef_NR99_128	Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;Greenland-10
Bacteria_Oxyphotobacteria_Leptolyngbyales_Leptolyngbyaceae_HAVOmat113_EF032782	EF032782	SILVA_SSURef_NR99_128	Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;HAVOmat113
Bacteria_Oxyphotobacteria_Leptolyngbyales_Leptolyngbyaceae_HAVOmat113_EF032789	EF032789	SILVA_SSURef_NR99_128	Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;HAVOmat113
Bacteria_Oxyphotobacteria_Leptolyngbyales_Leptolyngbyaceae_HAVOmat113_JX521407	JX521407	SILVA_SSURef_NR99_128	Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;HAVOmat113
Bacteria_Oxyphotobacteria_Leptolyngbyales_Leptolyngbyaceae_HAVOmat113_KF836194	KF836194	SILVA_SSURef_NR99_128	Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;HAVOmat113
Bacteria_Oxyphotobacteria_Leptolyngbyales_Leptolyngbyaceae_IAMM101_AB694932	AB694932	SILVA_SSURef_NR99_128	Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;IAM
Bacteria_Oxyphotobacteria_Leptolyngbyales_Leptolyngbyaceae_IAMM101_AP014638	AP014638	SILVA_SSURef_NR99_128	Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;IAM
Bacteria_Oxyphotobacteria_Leptolyngbyales_Leptolyngbyaceae_IAMM101_JF925321	JF925321	SILVA_SSURef_NR99_128	Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;IAM
Bacteria_Oxyphotobacteria_Leptolyngbyales_Leptolyngbyaceae_IAMM101_JQ769796	JQ769796	SILVA_SSURef_NR99_128	Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;IAM
Bacteria_Oxyphotobacteria_Leptolyngbyales_Leptolyngbyaceae_IAMM101_KF246498	KF246498	SILVA_SSURef_NR99_128	Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;IAM
Bacteria_Oxyphotobacteria_Leptolyngbyales_Leptolyngbyaceae_IAMM101_KM019915	KM019915	SILVA_SSURef_NR99_128	Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;IAM
Bacteria_Oxyphotobacteria_Leptolyngbyales_Leptolyngbyaceae_IAMM101_KM019916	KM019916	SILVA_SSURef_NR99_128	Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;IAM
Bacteria_Oxyphotobacteria_Leptolyngbyales_Leptolyngbyaceae_IAMM101_KP204495	KP204495	SILVA_SSURef_NR99_128	Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;IAM
Bacteria_Oxyphotobacteria_Leptolyngbyales_Leptolyngbyaceae_JSC12_EF429511	EF429511	SILVA_SSURef_NR99_128	Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;JSC-12
Bacteria_Oxyphotobacteria_Leptolyngbyales_Leptolyngbyaceae_JSC12_EU255708	EU255708	SILVA_SSURef_NR99_128	Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;JSC-12
Bacteria_Oxyphotobacteria_Leptolyngbyales_Leptolyngbyaceae_JSC12_KJ192051	KJ192051	SILVA_SSURef_NR99_128	Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;JSC-12
Bacteria_Oxyphotobacteria_Leptolyngbyales_Leptolyngbyaceae_LB376_AB630387	AB630387	SILVA_SSURef_NR99_128	Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;LB3-76
Bacteria_Oxyphotobacteria_Leptolyngbyales_Leptolyngbyaceae_LB376_FJ902584	FJ902584	SILVA_SSURef_NR99_128	Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;LB3-76
Bacteria_Oxyphotobacteria_Leptolyngbyales_Leptolyngbyaceae_LeptolyngbyaBN43_GQ848192	GQ848192	SILVA_SSURef_NR99_128	Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;Leptolyngbya
Bacteria_Oxyphotobacteria_Leptolyngbyales_Leptolyngbyaceae_LeptolyngbyaEsYyy1000_JN178405	JN178405	SILVA_SSURef_NR99_128	Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;Leptolyngbya
Bacteria_Oxyphotobacteria_Leptolyngbyales_Leptolyngbyaceae_LeptolyngbyaEsYyy1000_KC463189	KC463189	SILVA_SSURef_NR99_128	Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;Leptolyngbya
Bacteria_Oxyphotobacteria_Leptolyngbyales_Leptolyngbyaceae_LeptolyngbyaFYG_AB862932	AB862932	SILVA_SSURef_NR99_128	Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;Leptolyngbya
Bacteria_Oxyphotobacteria_Leptolyngbyales_Leptolyngbyaceae_LeptolyngbyaFYG_FJ933259	FJ933259	SILVA_SSURef_NR99_128	Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;Leptolyngbya
Bacteria_Oxyphotobacteria_Leptolyngbyales_Leptolyngbyaceae_LeptolyngbyaFYG_KF417647	KF417647	SILVA_SSURef_NR99_128	Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;Leptolyngbya
Bacteria_Oxyphotobacteria_Leptolyngbyales_Leptolyngbyaceae_LeptolyngbyaSAG2411_EU340177	EU340177	SILVA_SSURef_NR99_128	Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;Leptolyngbya
Bacteria_Oxyphotobacteria_Leptolyngbyales_Leptolyngbyaceae_MIZ36_AB179527	AB179527	SILVA_SSURef_NR99_128	Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;MIZ36
Bacteria_Oxyphotobacteria_Leptolyngbyales_Leptolyngbyaceae_MIZ36_FJ902666	FJ902666	SILVA_SSURef_NR99_128	Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;MIZ36
Bacteria_Oxyphotobacteria_Leptolyngbyales_Leptolyngbyaceae_NLS16_HQ397170	HQ397170	SILVA_SSURef_NR99_128	Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;NLS1.6
Bacteria_Oxyphotobacteria_Leptolyngbyales_Leptolyngbyaceae_PantanalinemaCENA516_KF246483	KF246483	SILVA_SSURef_NR99_128	Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;Pantanalinema
Bacteria_Oxyphotobacteria_Leptolyngbyales_Leptolyngbyaceae_PhormidesmisANTL526_AF076160	AF076160	SILVA_SSURef_NR99_128	Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;Phormidesmis
Bacteria_Oxyphotobacteria_Leptolyngbyales_Leptolyngbyaceae_PhormidesmisANTL526_AY493581	AY493581	SILVA_SSURef_NR99_128	Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;Phormidesmis
Bacteria_Oxyphotobacteria_Leptolyngbyales_Leptolyngbyaceae_PhormidesmisANTL526_AY493582	AY493582	SILVA_SSURef_NR99_128	Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;Phormidesmis
Bacteria_Oxyphotobacteria_Leptolyngbyales_Leptolyngbyaceae_PhormidesmisANTL526_JQ769551	JQ769551	SILVA_SSURef_NR99_128	Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;Phormidesmis
Bacteria_Oxyphotobacteria_Leptolyngbyales_Leptolyngbyaceae_PlanktolyngbyaCHAB5683_KR697753	KR697753	SILVA_SSURef_NR99_128	Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;Planktolyngbya
Bacteria_Oxyphotobacteria_Leptolyngbyales_Leptolyngbyaceae_ScytolyngbyaXS01_JN868980	JN868980	SILVA_SSURef_NR99_128	Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;Scytolyngbya
Bacteria_Oxyphotobacteria_Leptolyngbyales_Leptolyngbyaceae_TG45_JQ769700	JQ769700	SILVA_SSURef_NR99_128	Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;TG-45
Bacteria_Oxyphotobacteria_Leptolyngbyales_Leptolyngbyaceae_YB42_JQ769696	JQ769696	SILVA_SSURef_NR99_128	Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;YB-42
Bacteria_Oxyphotobacteria_Leptolyngbyales_Leptolyngbyaceae_YB42_KR137595	KR137595	SILVA_SSURef_NR99_128	Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;YB-42
Bacteria_Oxyphotobacteria_Leptolyngbyales_Leptolyngbyaceae_YT3_JQ770053	JQ770053	SILVA_SSURef_NR99_128	Oxyphotobacteria;Leptolyngbyales;Leptolyngbyaceae;YT-3
Bacteria_Oxyphotobacteria_Limnotrichales_Limnotrichaceae_Limnothrix_EU255715	EU255715	SILVA_SSURef_NR99_128	Oxyphotobacteria;Limnotrichales;Limnotrichaceae;Limnothrix
Bacteria_Oxyphotobacteria_Limnotrichales_Limnotrichaceae_Limnothrix_FJ612239	FJ612239	SILVA_SSURef_NR99_128	Oxyphotobacteria;Limnotrichales;Limnotrichaceae;Limnothrix
Bacteria_Oxyphotobacteria_Limnotrichales_Limnotrichaceae_Limnothrix_JX521667	JX521667	SILVA_SSURef_NR99_128	Oxyphotobacteria;Limnotrichales;Limnotrichaceae;Limnothrix
Bacteria_Oxyphotobacteria_Limnotrichales_Limnotrichaceae_Limnothrix_KF179652	KF179652	SILVA_SSURef_NR99_128	Oxyphotobacteria;Limnotrichales;Limnotrichaceae;Limnothrix
Bacteria_Oxyphotobacteria_Limnotrichales_Limnotrichaceae_Limnothrix_KM438191	KM438191	SILVA_SSURef_NR99_128	Oxyphotobacteria;Limnotrichales;Limnotrichaceae;Limnothrix
Bacteria_Oxyphotobacteria_Limnotrichales_Limnotrichaceae_Limnothrix_KT592515	KT592515	SILVA_SSURef_NR99_128	Oxyphotobacteria;Limnotrichales;Limnotrichaceae;Limnothrix
Bacteria_Oxyphotobacteria_Neosynechococcales_Neosynechococcaceae_Neosynechococcus_JJML01000087	JJML01000087	SILVA_SSURef_NR99_128	Oxyphotobacteria;Neosynechococcales;Neosynechococcaceae;Neosynechococcus
Bacteria_Oxyphotobacteria_Nostocales_Chamaesiphonaceae_ChamaesiphonPCC6605_CP003600	CP003600	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Chamaesiphonaceae;Chamaesiphon
Bacteria_Oxyphotobacteria_Nostocales_Chroococcidiopsaceae_AliterellaCENA595_FN811217	FN811217	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Chroococcidiopsaceae;Aliterella
Bacteria_Oxyphotobacteria_Nostocales_Chroococcidiopsaceae_AliterellaCENA595_KF037643	KF037643	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Chroococcidiopsaceae;Aliterella
Bacteria_Oxyphotobacteria_Nostocales_Chroococcidiopsaceae_AliterellaCENA595_KF037649	KF037649	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Chroococcidiopsaceae;Aliterella
Bacteria_Oxyphotobacteria_Nostocales_Chroococcidiopsaceae_AliterellaCENA595_KF037769	KF037769	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Chroococcidiopsaceae;Aliterella
Bacteria_Oxyphotobacteria_Nostocales_Chroococcidiopsaceae_ChlorogloeaSAG1099_KC572079	KC572079	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Chroococcidiopsaceae;Chlorogloea
Bacteria_Oxyphotobacteria_Nostocales_Chroococcidiopsaceae_ChroococcidiopsisCC1_DQ914863	DQ914863	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Chroococcidiopsaceae;Chroococcidiopsis
Bacteria_Oxyphotobacteria_Nostocales_Chroococcidiopsaceae_ChroococcidiopsisPCC7203_AM709635	AM709635	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Chroococcidiopsaceae;Chroococcidiopsis
Bacteria_Oxyphotobacteria_Nostocales_Chroococcidiopsaceae_ChroococcidiopsisSAG2023_DQ129645	DQ129645	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Chroococcidiopsaceae;Chroococcidiopsis
Bacteria_Oxyphotobacteria_Nostocales_Chroococcidiopsaceae_ChroococcidiopsisSAG2023_DQ990927	DQ990927	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Chroococcidiopsaceae;Chroococcidiopsis
Bacteria_Oxyphotobacteria_Nostocales_Chroococcidiopsaceae_ChroococcidiopsisSAG2023_EU409845	EU409845	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Chroococcidiopsaceae;Chroococcidiopsis
Bacteria_Oxyphotobacteria_Nostocales_Chroococcidiopsaceae_ChroococcidiopsisSAG2023_KF037535	KF037535	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Chroococcidiopsaceae;Chroococcidiopsis
